#{"t_start": 1772767812.3438518, "env_id": "marinenav_env-v0"}
r,l,t,is_success
101.229007,33,94.448825,True
-57.617741,16,94.523828,False
-57.215096,23,94.629341,False
109.845422,29,94.759946,True
101.889283,32,94.945439,True
100.175505,33,95.12627,True
-49.271084,11,95.198927,False
-52.632591,13,95.269449,False
-54.930328,22,95.398966,False
104.321649,34,95.573014,True
77.50138,59,95.883084,True
-51.799542,18,95.972601,False
103.770106,28,96.131181,True
109.381316,28,96.264663,True
110.000897,22,96.370185,True
-46.015993,16,96.44519,False
-59.597116,15,96.544843,False
106.486635,29,96.704613,True
-48.032198,13,96.781165,False
115.413827,23,96.927685,True
96.958942,33,97.150354,True
-55.652516,19,97.269421,False
111.295925,26,97.437946,True
104.255785,25,97.637999,True
-40.310611,13,97.734037,False
-36.798426,17,97.867667,False
108.544524,21,98.023188,True
93.68826,44,98.238386,True
105.146367,33,98.461491,True
87.56602,54,98.806915,True
95.832693,36,98.999861,True
108.492535,21,99.116357,True
-44.069313,11,99.183875,False
98.639627,36,99.3685,True
-44.388624,7,99.405503,False
115.695995,17,99.490016,True
108.190275,28,99.628536,True
-56.976327,19,99.710051,False
108.120875,24,99.813449,True
-45.594298,17,99.890973,False
96.695526,37,100.07101,True
77.577599,57,100.337968,True
-46.584995,8,100.383478,False
-58.918685,21,100.472961,False
99.883475,30,100.612084,True
108.780788,25,100.728608,True
-56.427862,21,100.850345,False
-54.962102,15,100.928334,False
102.036203,29,101.078582,True
116.93359,27,101.191097,True
100.050121,30,101.310618,True
111.513925,24,101.418031,True
94.971844,46,101.638116,True
-51.654018,14,101.70616,False
97.144942,38,101.857175,True
114.542032,19,101.937168,True
-50.659815,17,102.00969,False
102.270815,31,102.128852,True
-49.758743,14,102.189369,False
-42.876435,15,102.253891,False
-48.567964,11,102.301892,False
-42.359395,26,102.447413,False
103.801993,33,102.58145,True
115.34122,22,102.668493,True
-48.448588,18,102.745502,False
82.961753,55,102.966658,True
101.927314,36,103.126318,True
-52.815045,14,103.196593,False
106.722211,22,103.295113,True
104.441342,30,103.458154,True
98.246874,45,103.649678,True
115.125728,18,103.731844,True
-48.805139,13,103.796203,False
-41.934866,18,103.888728,False
113.568942,17,103.94977,True
104.731581,46,104.098284,True
-58.467247,17,104.158794,False
108.869844,28,104.266314,True
-43.897453,11,105.395588,False
98.977939,30,105.463115,True
91.481374,40,105.554119,True
108.540613,28,105.619632,True
96.176086,41,105.710724,True
85.784715,45,105.811247,True
112.019222,19,105.856684,True
105.488511,36,105.95069,True
105.913503,29,106.017201,True
107.801886,29,106.083729,True
100.342663,50,106.195235,True
107.111108,23,106.250243,True
110.255818,20,106.295801,True
-57.318141,24,106.352809,False
-44.210494,5,106.367326,False
108.096403,33,106.44133,True
106.646064,26,106.50178,True
93.506715,38,106.599298,True
-49.110378,14,106.633298,False
-49.315361,11,106.662518,False
104.439081,27,106.723518,True
107.360823,29,106.790043,True
-45.143757,19,106.835044,False
-47.799476,13,106.867632,False
106.056214,32,106.939632,True
118.550534,31,107.010422,True
-49.281183,14,107.044428,False
80.912969,49,107.157965,True
-51.583291,11,107.186965,False
-34.977958,20,107.235965,False
-61.713029,33,107.314507,False
-57.152095,12,107.347986,False
102.002225,30,107.422917,True
-52.522994,19,107.469954,False
-43.700917,18,107.514952,False
-43.209847,18,107.560475,False
81.584349,49,107.676988,True
92.999229,38,107.766511,True
111.058983,20,107.817188,True
107.632529,28,107.903708,True
95.854007,40,108.000229,True
-44.694163,6,108.019229,False
110.73435,22,108.071745,True
109.430926,29,108.141751,True
102.546585,37,108.230262,True
108.580329,27,108.295792,True
99.094831,35,108.38031,True
116.141676,20,108.431309,True
-48.282779,10,108.457867,False
94.658937,46,108.575388,True
114.356837,24,108.637471,True
-45.562184,9,108.661514,False
110.707356,24,108.722513,True
-44.259147,12,108.753519,False
99.461728,36,108.842035,True
104.28396,25,108.906552,True
106.923121,34,108.987076,True
100.79713,37,109.07559,True
95.817289,33,109.154596,True
-47.795321,15,109.19462,False
111.889436,24,109.256131,True
110.721347,26,109.321137,True
108.76596,30,109.393167,True
-48.98376,14,109.429167,False
106.281067,22,109.485688,True
111.984714,27,109.555394,True
118.248307,24,109.617998,True
119.576886,23,109.675687,True
112.9357,32,109.753702,True
102.850908,27,109.82221,True
108.586369,20,109.872727,True
97.766114,34,109.956733,True
108.223675,21,110.012245,True
110.605679,24,110.073763,True
-52.476548,17,110.118764,False
-49.030262,14,110.163031,False
111.618174,26,110.238028,True
94.610328,40,110.334932,True
104.245888,31,111.504853,True
108.721292,20,111.55089,True
-41.533972,15,111.587369,False
102.693755,27,111.652376,True
115.676132,22,111.704748,True
116.933894,32,111.777673,True
102.692494,28,111.845803,True
-49.194128,12,111.88432,False
109.741726,33,111.960889,True
-45.97871,17,112.000899,False
-46.813585,18,112.044898,False
118.146834,21,112.09141,True
-51.902173,12,112.12041,False
-44.634734,10,112.147417,False
114.506596,19,112.192928,True
109.744653,19,112.236929,True
107.199833,25,112.296002,True
114.734208,20,112.343002,True
112.187232,25,112.40052,True
-53.395285,17,112.441521,False
-34.841186,17,112.482038,False
104.915424,47,112.601493,True
106.756437,25,112.660014,True
111.179804,30,112.730014,True
105.710973,34,112.806534,True
-44.250269,21,112.856539,False
112.095182,20,112.90505,True
111.275968,25,112.965566,True
-44.203736,14,112.998567,False
113.395097,33,113.09009,True
-43.612879,19,113.140089,False
96.695204,33,113.214609,True
-59.988062,21,113.262126,False
110.422947,20,113.312132,True
113.099463,23,113.367648,True
105.381386,26,113.430648,True
113.817925,23,113.486164,True
95.884292,42,113.584486,True
123.121357,23,113.641485,True
106.521761,24,113.702007,True
105.395837,23,113.759522,True
100.850971,43,113.860912,True
-44.660912,17,113.904849,False
116.812594,22,113.95953,True
108.625798,25,114.02006,True
118.687552,27,114.08658,True
112.232404,25,114.147589,True
111.063124,24,114.206099,True
117.561859,21,114.26163,True
-45.281668,6,114.287627,False
114.501924,25,114.35263,True
-52.986934,15,114.390141,False
-45.608794,14,114.426142,False
111.646119,22,114.481422,True
110.811534,25,114.546462,True
112.298697,30,114.62076,True
107.084968,33,114.702782,True
-46.905318,18,114.74884,False
101.412944,32,114.833351,True
-54.689791,20,114.887873,False
96.008901,35,114.97339,True
-47.874226,8,114.99439,False
99.061055,35,115.078958,True
113.893007,20,115.129958,True
-48.775692,21,115.182982,False
115.766458,18,115.228627,True
110.438217,27,115.295666,True
80.672008,53,115.440366,True
115.121542,22,115.495886,True
109.087212,24,115.55789,True
116.999648,29,115.629402,True
113.540123,21,115.681426,True
109.807004,23,115.739427,True
106.284603,24,115.799945,True
115.37595,23,115.857951,True
112.341593,17,115.900462,True
108.559866,26,115.970857,True
110.544634,21,116.029171,True
-49.769105,19,116.07976,False
100.226248,33,116.163019,True
-48.296222,10,116.190019,False
106.06839,31,116.268537,True
-60.516059,25,116.334566,False
116.465882,21,116.388062,True
105.030111,24,116.450067,True
103.188592,29,116.536583,True
104.600469,27,117.696676,True
110.591484,31,117.767193,True
101.471584,30,117.834784,True
-41.361169,11,117.862294,False
93.856646,35,117.948308,True
112.694606,26,118.009816,True
-47.406794,10,118.033816,False
111.458434,18,118.076335,True
100.139462,29,118.145334,True
110.902882,27,118.208759,True
109.170133,29,118.277183,True
112.742782,21,118.32552,True
121.991721,25,118.38212,True
-50.952012,11,118.40812,False
104.740054,25,118.465642,True
119.848786,23,118.520642,True
-47.922274,17,118.561647,False
-51.155091,14,118.595806,False
112.988858,23,118.653818,True
97.97024,32,118.736085,True
-44.086373,16,118.774609,False
112.226758,25,118.829609,True
-43.248362,6,118.844609,False
-55.1324,22,118.895904,False
105.275587,30,118.962909,True
117.959451,22,119.0134,True
107.664622,21,119.060406,True
99.323951,32,119.130988,True
-56.177458,28,119.195397,False
109.365829,23,119.249402,True
-57.041398,20,119.296921,False
119.963827,27,119.35688,True
114.452499,28,119.419389,True
109.062444,20,119.465847,True
108.794022,26,119.526846,True
124.107352,23,119.58337,True
-49.265787,13,119.633365,False
-47.821602,16,119.676394,False
108.796471,30,119.7534,True
112.967003,16,119.792917,True
-51.919557,16,119.834919,False
-50.216131,10,119.877444,False
-52.068108,27,119.946437,False
106.21124,29,120.0167,True
108.502432,30,120.08822,True
105.38466,36,120.173786,True
-48.219679,17,120.215786,False
107.605011,25,120.27914,True
113.938957,21,120.332083,True
-44.380807,11,120.361521,False
114.925313,19,120.41051,True
-38.858922,11,120.439515,False
114.96513,30,120.512193,True
122.072523,23,120.567713,True
109.203009,28,120.636708,True
106.162106,25,120.695763,True
101.838386,40,120.792018,True
110.462427,32,120.869539,True
95.594556,33,120.945539,True
103.02483,45,121.055082,True
-48.885379,18,121.100476,False
112.171083,18,121.145476,True
111.048978,26,121.210023,True
117.324105,24,121.276513,True
115.162428,18,121.329512,True
105.081814,25,121.394038,True
98.050381,34,121.476205,True
97.702437,31,121.553209,True
-48.690423,11,121.582729,False
102.802404,36,121.673566,True
113.373412,27,121.740567,True
104.268097,28,121.81409,True
-47.907106,11,121.848089,False
-49.888399,25,121.91261,False
116.146078,20,121.962617,True
114.908445,20,122.013127,True
110.444545,24,122.073779,True
104.824819,28,122.141779,True
102.121525,29,122.214809,True
111.766754,18,122.260817,True
-54.82317,20,122.31336,False
114.681757,30,122.396923,True
104.91078,37,122.488392,True
116.621252,20,122.541625,True
109.682018,25,122.605642,True
110.766057,20,122.655161,True
118.833251,27,122.723191,True
113.86219,18,123.969404,True
105.635402,24,124.026402,True
102.126748,29,124.097923,True
89.035832,57,124.248599,True
112.053272,21,124.304126,True
100.29345,32,124.389644,True
111.034954,24,124.456651,True
108.694029,23,124.517163,True
107.885524,26,124.584688,True
94.852523,47,124.691714,True
-56.264128,36,124.777132,False
90.472137,49,124.914909,True
108.585504,29,124.996431,True
111.29279,26,125.062438,True
109.328386,20,125.110956,True
-46.847134,15,125.15196,False
106.343891,22,125.207815,True
-45.355737,23,125.262826,False
107.832076,22,125.317338,True
102.819986,41,125.428486,True
112.339767,18,125.477004,True
